"","Monogram","Frequency","PRED"
"1","the",1634,"the"
"2","to",1290,"to"
"3","and",1222,"and"
"4","a",1176,"a"
"5","of",1087,"of"
"6","in",927,"in"
"7","i",703,"i"
"8","for",690,"for"
"9","that",663,"that"
"10","is",627,"is"
"11","on",545,"on"
"12","it",525,"it"
"13","with",502,"with"
"14","you",460,"you"
"15","at",421,"at"
"16","was",416,"was"
"17","be",378,"be"
"18","have",372,"have"
"19","but",360,"but"
"20","this",357,"this"
"21","as",328,"as"
"22","are",317,"are"
"23","my",310,"my"
"24","from",302,"from"
"25","not",284,"not"
"26","he",265,"he"
"27","so",262,"so"
"28","by",251,"by"
"29","s",244,"s"
"30","an",241,"an"
"31","we",238,"we"
"32","said",238,"said"
"33","about",234,"about"
"34","all",233,"all"
"35","one",230,"one"
"36","just",228,"just"
"37","or",221,"or"
"38","me",214,"me"
"39","they",212,"they"
"40","will",212,"will"
"41","up",211,"up"
"42","out",208,"out"
"43","its",207,"its"
"44","has",207,"has"
"45","if",205,"if"
"46","who",196,"who"
"47","more",193,"more"
"48","when",192,"when"
"49","his",192,"his"
"50","what",190,"what"
"51","can",183,"can"
"52","do",176,"do"
"53","like",168,"like"
"54","their",165,"their"
"55","time",163,"time"
"56","get",163,"get"
"57","would",157,"would"
"58","your",157,"your"
"59","some",155,"some"
"60","there",155,"there"
"61","been",147,"been"
"62","were",145,"were"
"63","had",145,"had"
"64","year",144,"year"
"65","know",135,"know"
"66","new",133,"new"
"67","them",132,"them"
"68","also",132,"also"
"69","now",131,"now"
"70","which",128,"which"
"71","no",126,"no"
"72","than",126,"than"
"73","first",126,"first"
"74","our",122,"our"
"75","good",120,"good"
"76","how",116,"how"
"77","two",116,"two"
"78","other",115,"other"
"79","im",115,"im"
"80","after",115,"after"
"81","she",111,"she"
"82","into",109,"into"
"83","because",107,"because"
"84","then",107,"then"
"85","t",106,"t"
"86","last",106,"last"
"87","her",106,"her"
"88","people",105,"people"
"89","love",105,"love"
"90","way",104,"way"
"91","go",99,"go"
"92","make",98,"make"
"93","only",96,"only"
"94","well",94,"well"
"95","going",93,"going"
"96","see",93,"see"
"97","could",92,"could"
"98","back",91,"back"
"99","think",90,"think"
"100","even",90,"even"
"101","dont",90,"dont"
"102","got",90,"got"
"103","much",89,"much"
"104","too",87,"too"
"105","day",86,"day"
"106","him",85,"him"
"107","here",85,"here"
"108","any",82,"any"
"109","over",81,"over"
"110","m",80,"m"
"111","us",80,"us"
"112","off",80,"off"
"113","many",80,"many"
"114","did",78,"did"
"115","those",77,"those"
"116","years",74,"years"
"117","work",73,"work"
"118","right",73,"right"
"119","today",71,"today"
"120","most",71,"most"
"121","great",70,"great"
"122","never",70,"never"
"123","where",69,"where"
"124","am",69,"am"
"125","something",69,"something"
"126","being",69,"being"
"127","down",69,"down"
"128","little",69,"little"
"129","before",68,"before"
"130","very",67,"very"
"131","may",67,"may"
"132","need",66,"need"
"133","these",66,"these"
"134","same",65,"same"
"135","look",65,"look"
"136","still",65,"still"
"137","want",64,"want"
"138","why",64,"why"
"139","say",64,"say"
"140","best",64,"best"
"141","really",63,"really"
"142","take",63,"take"
"143","made",62,"made"
"144","things",60,"things"
"145","while",60,"while"
"146","life",59,"life"
"147","since",57,"since"
"148","night",56,"night"
"149","state",56,"state"
"150","u",56,"u"
"151","city",55,"city"
"152","around",55,"around"
